trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1109,False,"{'a': 0.5, 'e': 1.0}",20,0,-256.87577629562475,"{0: 7, 1: 5, 2: 2, 3: 1, 4: 5}",0
1110,False,"{'a': 0.5, 'e': 1.0}",30,0,-129.01702026111596,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
1111,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.36166318487147,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
1112,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.3866927402822,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
1113,False,"{'a': 0.5, 'e': 1.0}",30,0,-152.82709594485956,"{0: 16, 1: 6, 2: 6, 3: 0, 4: 2}",0
1114,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.99173769986449,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
1115,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.86513527706542,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
1116,False,"{'a': 0.5, 'e': 1.0}",25,0,-155.31577260873348,"{0: 13, 1: 3, 2: 5, 3: 3, 4: 1}",0
1117,False,"{'a': 0.5, 'e': 1.0}",25,0,-126.49217127729007,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
1118,False,"{'a': 0.5, 'e': 1.0}",25,0,-43.66617973153346,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
1119,False,"{'a': 0.5, 'e': 1.0}",25,0,-188.35430029336422,"{0: 11, 1: 5, 2: 5, 3: 2, 4: 2}",0
1120,False,"{'a': 0.5, 'e': 1.0}",35,0,-163.80546305096377,"{0: 20, 1: 5, 2: 6, 3: 3, 4: 1}",0
1121,False,"{'a': 0.5, 'e': 1.0}",25,0,-251.75798032209826,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 5}",0
1122,False,"{'a': 0.5, 'e': 1.0}",25,0,-178.77456420301397,"{0: 16, 1: 3, 2: 2, 3: 0, 4: 4}",0
1123,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.17710502539035,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
1124,False,"{'a': 0.5, 'e': 1.0}",20,0,-42.23576679012956,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
1125,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.23554448298648,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
1126,False,"{'a': 0.5, 'e': 1.0}",20,11,-29.06554557859115,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 0}",1
1127,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.54495097707328,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
1128,False,"{'a': 0.5, 'e': 1.0}",30,0,-147.7747749100387,"{0: 17, 1: 5, 2: 4, 3: 3, 4: 1}",0
1129,False,"{'a': 0.5, 'e': 1.0}",25,0,-9.59470296699928,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
1130,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.30120690736565,"{0: 9, 1: 2, 2: 9, 3: 0, 4: 0}",0
1131,False,"{'a': 0.5, 'e': 1.0}",25,0,-102.36062878831046,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
1132,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.82618400493797,"{0: 17, 1: 1, 2: 3, 3: 4, 4: 0}",0
1133,False,"{'a': 0.5, 'e': 1.0}",35,0,-228.09585243576385,"{0: 14, 1: 6, 2: 11, 3: 3, 4: 1}",0
1134,False,"{'a': 0.5, 'e': 1.0}",20,0,-185.76562795425235,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 4}",0
1135,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.62697919761221,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
1136,False,"{'a': 0.5, 'e': 1.0}",20,0,-170.315042969127,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
